title,BATTING,dismissed,R,B,M,4s,6s,SR
Sunrisers Hyderabad VS Kolkata Knight Riders,Sunil Narine ,c Markram b Jansen,0,1,2,0,0,0.00
Sunrisers Hyderabad VS Kolkata Knight Riders,Nitish Rana (c),c Washington Sundar b Natarajan,75,41,67,5,6,182.92
Sunrisers Hyderabad VS Kolkata Knight Riders,Andre Russell ,c Jansen b Markande,3,6,10,0,0,50.00
Sunrisers Hyderabad VS Kolkata Knight Riders,Rinku Singh ,not out ,58,31,51,4,4,187.09
Sunrisers Hyderabad VS Kolkata Knight Riders,Shardul Thakur ,c Washington Sundar b Umran Malik,12,7,15,2,0,171.42
Sunrisers Hyderabad VS Kolkata Knight Riders,Umesh Yadav ,not out ,1,1,4,0,0,100.00
Punjab Kings VS Gujarat Titans,Prabhsimran Singh ,c Rashid Khan b Mohammed Shami,0,2,3,0,0,0.00
Punjab Kings VS Gujarat Titans,Shikhar Dhawan (c),c Joseph b Little,8,8,20,2,0,100.00
Punjab Kings VS Gujarat Titans,Matthew Short , b Rashid Khan,36,24,38,6,1,150.00
Punjab Kings VS Gujarat Titans,Bhanuka Rajapaksa ,c Shubman Gill b Joseph,20,26,73,1,0,76.92
Punjab Kings VS Gujarat Titans,Jitesh Sharma †,c †Saha b Sharma,25,23,29,5,0,108.69
Punjab Kings VS Gujarat Titans,Sam Curran ,c Shubman Gill b Sharma,22,22,33,1,1,100.00
Punjab Kings VS Gujarat Titans,M Shahrukh Khan ,run out (Miller/†Saha),22,9,19,1,2,244.44
Punjab Kings VS Gujarat Titans,Harpreet Brar ,not out ,8,5,12,0,1,160.00
Punjab Kings VS Gujarat Titans,Rishi Dhawan ,run out (†Saha),1,1,4,0,0,100.00
Punjab Kings VS Gujarat Titans,Wriddhiman Saha †,c Short b Rabada,30,19,-,5,0,157.89
Punjab Kings VS Gujarat Titans,Shubman Gill , b Curran,67,49,-,7,1,136.73
Punjab Kings VS Gujarat Titans,Sai Sudharsan ,c Prabhsimran Singh b Arshdeep Singh,19,20,-,2,0,95.00
Punjab Kings VS Gujarat Titans,Hardik Pandya (c),c Curran b Harpreet Brar,8,11,-,1,0,72.72
Punjab Kings VS Gujarat Titans,David Miller ,not out ,17,18,-,1,0,94.44
Punjab Kings VS Gujarat Titans,Rahul Tewatia ,not out ,5,2,-,1,0,250.00
Rajasthan Royals VS Chennai Super Kings,Yashasvi Jaiswal ,c Dube b Deshpande,10,8,9,2,0,125.00
Rajasthan Royals VS Chennai Super Kings,Jos Buttler , b Ali,52,36,79,1,3,144.44
Rajasthan Royals VS Chennai Super Kings,Devdutt Padikkal ,c Conway b Jadeja,38,26,33,5,0,146.15
Rajasthan Royals VS Chennai Super Kings,Sanju Samson (c)†, b Jadeja,0,2,2,0,0,0.00
Rajasthan Royals VS Chennai Super Kings,Ravichandran Ashwin ,c Magala b Akash Singh,30,22,29,1,2,136.36
Rajasthan Royals VS Chennai Super Kings,Shimron Hetmyer ,not out ,30,18,28,2,2,166.66
Rajasthan Royals VS Chennai Super Kings,Dhruv Jurel ,c Dube b Akash Singh,4,6,15,0,0,66.66
Rajasthan Royals VS Chennai Super Kings,Jason Holder ,c Conway b Deshpande,0,1,6,0,0,0.00
Rajasthan Royals VS Chennai Super Kings,Adam Zampa ,run out (Theekshana/†Dhoni),1,1,2,0,0,100.00
Rajasthan Royals VS Chennai Super Kings,Ruturaj Gaikwad ,c Jaiswal b Sandeep Sharma,8,10,14,1,0,80.00
Rajasthan Royals VS Chennai Super Kings,Devon Conway ,c Jaiswal b Chahal,50,38,82,6,0,131.57
Rajasthan Royals VS Chennai Super Kings,Ajinkya Rahane ,lbw b Ashwin,31,19,38,2,1,163.15
Rajasthan Royals VS Chennai Super Kings,Shivam Dube ,lbw b Ashwin,8,9,13,1,0,88.88
Rajasthan Royals VS Chennai Super Kings,Moeen Ali ,c Sandeep Sharma b Zampa,7,10,12,0,0,70.00
Rajasthan Royals VS Chennai Super Kings,Ambati Rayudu ,c Hetmyer b Chahal,1,2,4,0,0,50.00
Rajasthan Royals VS Chennai Super Kings,Ravindra Jadeja ,not out ,25,15,35,1,2,166.66
Rajasthan Royals VS Chennai Super Kings,MS Dhoni (c)†,not out ,32,17,30,1,3,188.23
Delhi Capitals VS Mumbai Indians,David Warner (c),c Meredith b Behrendorff,51,47,94,6,0,108.51
Delhi Capitals VS Mumbai Indians,Prithvi Shaw ,c Green b Shokeen,15,10,17,3,0,150.00
Delhi Capitals VS Mumbai Indians,Manish Pandey ,c Behrendorff b Chawla,26,18,24,5,0,144.44
Delhi Capitals VS Mumbai Indians,Yash Dhull ,c Wadhera b Meredith,2,4,7,0,0,50.00
Delhi Capitals VS Mumbai Indians,Rovman Powell ,lbw b Chawla,4,4,6,1,0,100.00
Delhi Capitals VS Mumbai Indians,Lalit Yadav , b Chawla,2,4,10,0,0,50.00
Delhi Capitals VS Mumbai Indians,Axar Patel ,c Arshad Khan b Behrendorff,54,25,29,4,5,216.00
Delhi Capitals VS Mumbai Indians,Abishek Porel †,c Green b Behrendorff,1,3,8,0,0,33.33
Delhi Capitals VS Mumbai Indians,Kuldeep Yadav ,run out (Wadhera),0,1,2,0,0,0.00
Delhi Capitals VS Mumbai Indians,Anrich Nortje , b Meredith,5,3,7,1,0,166.66
Delhi Capitals VS Mumbai Indians,Rohit Sharma (c),c †Abishek Porel b Mustafizur Rahman,65,45,86,6,4,144.44
Delhi Capitals VS Mumbai Indians,Ishan Kishan †,run out (Mukesh Kumar/Lalit Yadav),31,26,32,6,0,119.23
Delhi Capitals VS Mumbai Indians,Tilak Varma ,c Pandey b Mukesh Kumar,41,29,42,1,4,141.37
Delhi Capitals VS Mumbai Indians,Suryakumar Yadav ,c Kuldeep Yadav b Mukesh Kumar,0,1,3,0,0,0.00
Delhi Capitals VS Mumbai Indians,Tim David ,not out ,13,11,27,0,1,118.18
Delhi Capitals VS Mumbai Indians,Cameron Green ,not out ,17,8,20,1,1,212.50
Royal Challengers Bangalore VS Lucknow Super Giants,Virat Kohli ,c Stoinis b Mishra,61,44,50,4,4,138.63
Royal Challengers Bangalore VS Lucknow Super Giants,Faf du Plessis (c),not out ,79,46,104,5,5,171.73
Royal Challengers Bangalore VS Lucknow Super Giants,Glenn Maxwell , b Wood,59,29,54,3,6,203.44
Royal Challengers Bangalore VS Lucknow Super Giants,Dinesh Karthik †,not out ,1,1,2,0,0,100.00
Royal Challengers Bangalore VS Lucknow Super Giants,Kyle Mayers , b Mohammed Siraj,0,3,5,0,0,0.00
Royal Challengers Bangalore VS Lucknow Super Giants,KL Rahul (c),c Kohli b Mohammed Siraj,18,20,61,1,0,90.00
Royal Challengers Bangalore VS Lucknow Super Giants,Deepak Hooda ,c †Karthik b Parnell,9,10,19,1,0,90.00
Royal Challengers Bangalore VS Lucknow Super Giants,Krunal Pandya ,c †Karthik b Parnell,0,2,3,0,0,0.00
Royal Challengers Bangalore VS Lucknow Super Giants,Marcus Stoinis ,c Shahbaz Ahmed b Sharma,65,30,32,6,5,216.66
Royal Challengers Bangalore VS Lucknow Super Giants,Nicholas Pooran †,c Shahbaz Ahmed b Mohammed Siraj,62,19,38,4,7,326.31
Royal Challengers Bangalore VS Lucknow Super Giants,Ayush Badoni ,hit wicket b Parnell,30,24,45,4,0,125.00
Royal Challengers Bangalore VS Lucknow Super Giants,Jaydev Unadkat ,c du Plessis b Patel,9,7,19,1,0,128.57
Royal Challengers Bangalore VS Lucknow Super Giants,Mark Wood , b Patel,1,2,6,0,0,50.00
Royal Challengers Bangalore VS Lucknow Super Giants,Ravi Bishnoi ,not out ,3,2,8,0,0,150.00
Punjab Kings VS Sunrisers Hyderabad,Prabhsimran Singh ,lbw b Kumar,0,1,2,0,0,0.00
Punjab Kings VS Sunrisers Hyderabad,Shikhar Dhawan (c),not out ,99,66,105,12,5,150.00
Punjab Kings VS Sunrisers Hyderabad,Matthew Short ,lbw b Jansen,1,3,9,0,0,33.33
Punjab Kings VS Sunrisers Hyderabad,Jitesh Sharma †,c Markram b Jansen,4,9,13,1,0,44.44
Punjab Kings VS Sunrisers Hyderabad,Sam Curran ,c Kumar b Markande,22,15,25,3,1,146.66
Punjab Kings VS Sunrisers Hyderabad,Sikandar Raza ,c Agarwal b Umran Malik,5,6,5,0,0,83.33
Punjab Kings VS Sunrisers Hyderabad,M Shahrukh Khan ,lbw b Markande,4,3,7,1,0,133.33
Punjab Kings VS Sunrisers Hyderabad,Harpreet Brar , b Umran Malik,1,2,5,0,0,50.00
Punjab Kings VS Sunrisers Hyderabad,Rahul Chahar ,lbw b Markande,0,8,10,0,0,0.00
Punjab Kings VS Sunrisers Hyderabad,Nathan Ellis , b Markande,0,5,10,0,0,0.00
Punjab Kings VS Sunrisers Hyderabad,Mohit Rathee ,not out ,1,2,25,0,0,50.00
Punjab Kings VS Sunrisers Hyderabad,Harry Brook , b Arshdeep Singh,13,14,18,3,0,92.85
Punjab Kings VS Sunrisers Hyderabad,Mayank Agarwal ,c Curran b Chahar,21,20,38,3,0,105.00
Punjab Kings VS Sunrisers Hyderabad,Rahul Tripathi ,not out ,74,48,61,10,3,154.16
Punjab Kings VS Sunrisers Hyderabad,Aiden Markram (c),not out ,37,21,41,6,0,176.19
Gujarat Titans VS Kolkata Knight Riders,Wriddhiman Saha †,c Jagadeesan b Narine,17,17,24,3,0,100.00
Gujarat Titans VS Kolkata Knight Riders,Shubman Gill ,c Yadav b Narine,39,31,55,5,0,125.80
Gujarat Titans VS Kolkata Knight Riders,Sai Sudharsan ,c sub (AS Roy) b Narine,53,38,64,3,2,139.47
Gujarat Titans VS Kolkata Knight Riders,Abhinav Manohar , b Suyash Sharma,14,8,13,3,0,175.00
Gujarat Titans VS Kolkata Knight Riders,Vijay Shankar ,not out ,63,24,33,4,5,262.50
Gujarat Titans VS Kolkata Knight Riders,David Miller ,not out ,2,3,13,0,0,66.66
Gujarat Titans VS Kolkata Knight Riders,Rahmanullah Gurbaz †,c Yash Dayal b Mohammed Shami,15,12,13,1,1,125.00
Gujarat Titans VS Kolkata Knight Riders,Narayan Jagadeesan ,c Manohar b Little,6,8,21,1,0,75.00
Gujarat Titans VS Kolkata Knight Riders,Venkatesh Iyer ,c Shubman Gill b Joseph,83,40,64,8,5,207.50
Gujarat Titans VS Kolkata Knight Riders,Nitish Rana (c),c Mohammed Shami b Joseph,45,29,42,4,3,155.17
Gujarat Titans VS Kolkata Knight Riders,Rinku Singh ,not out ,48,21,43,1,6,228.57
Gujarat Titans VS Kolkata Knight Riders,Andre Russell ,c sub (†KS Bharat) b Rashid Khan,1,2,6,0,0,50.00
Gujarat Titans VS Kolkata Knight Riders,Sunil Narine ,c sub (J Yadav) b Rashid Khan,0,1,2,0,0,0.00
Gujarat Titans VS Kolkata Knight Riders,Shardul Thakur ,lbw b Rashid Khan,0,1,3,0,0,0.00
Gujarat Titans VS Kolkata Knight Riders,Umesh Yadav ,not out ,5,6,19,0,0,83.33
Mumbai Indians VS Chennai Super Kings,Rohit Sharma (c), b Deshpande,21,13,22,3,1,161.53
Mumbai Indians VS Chennai Super Kings,Ishan Kishan †,c Pretorius b Jadeja,32,21,36,5,0,152.38
Mumbai Indians VS Chennai Super Kings,Cameron Green ,c & b Jadeja,12,11,23,1,0,109.09
Mumbai Indians VS Chennai Super Kings,Suryakumar Yadav ,c †Dhoni b Santner,1,2,6,0,0,50.00
Mumbai Indians VS Chennai Super Kings,Tilak Varma ,lbw b Jadeja,22,18,26,2,1,122.22
Mumbai Indians VS Chennai Super Kings,Arshad Khan ,lbw b Santner,2,4,4,0,0,50.00
Mumbai Indians VS Chennai Super Kings,Tim David ,c Rahane b Deshpande,31,22,35,1,2,140.90
Mumbai Indians VS Chennai Super Kings,Tristan Stubbs ,c Gaikwad b Magala,5,10,13,0,0,50.00
Mumbai Indians VS Chennai Super Kings,Hrithik Shokeen ,not out ,18,13,20,3,0,138.46
Mumbai Indians VS Chennai Super Kings,Piyush Chawla ,not out ,5,6,15,0,0,83.33
Mumbai Indians VS Chennai Super Kings,Devon Conway , b Behrendorff,0,4,4,0,0,0.00
Mumbai Indians VS Chennai Super Kings,Ruturaj Gaikwad ,not out ,40,36,80,2,1,111.11
Mumbai Indians VS Chennai Super Kings,Ajinkya Rahane ,c Yadav b Chawla,61,27,33,7,3,225.92
Mumbai Indians VS Chennai Super Kings,Shivam Dube , b Kartikeya,28,26,28,2,1,107.69
Mumbai Indians VS Chennai Super Kings,Ambati Rayudu ,not out ,20,16,16,3,0,125.00
Rajasthan Royals VS Delhi Capitals,Yashasvi Jaiswal ,c & b Mukesh Kumar,60,31,47,11,1,193.54
Rajasthan Royals VS Delhi Capitals,Jos Buttler ,c & b Mukesh Kumar,79,51,94,11,1,154.90
Rajasthan Royals VS Delhi Capitals,Sanju Samson (c)†,c Nortje b Kuldeep Yadav,0,4,7,0,0,0.00
Rajasthan Royals VS Delhi Capitals,Riyan Parag , b Powell,7,11,16,0,0,63.63
Rajasthan Royals VS Delhi Capitals,Shimron Hetmyer ,not out ,39,21,32,1,4,185.71
Rajasthan Royals VS Delhi Capitals,Dhruv Jurel ,not out ,8,3,7,0,1,266.66
Rajasthan Royals VS Delhi Capitals,Prithvi Shaw ,c †Samson b Boult,0,3,4,0,0,0.00
Rajasthan Royals VS Delhi Capitals,David Warner (c),lbw b Chahal,65,55,102,7,0,118.18
Rajasthan Royals VS Delhi Capitals,Manish Pandey ,lbw b Boult,0,1,3,0,0,0.00
Rajasthan Royals VS Delhi Capitals,Rilee Rossouw ,c Jaiswal b R Ashwin,14,12,24,2,0,116.66
Rajasthan Royals VS Delhi Capitals,Lalit Yadav , b Boult,38,24,35,5,0,158.33
Rajasthan Royals VS Delhi Capitals,Axar Patel ,st †Samson b Chahal,2,6,12,0,0,33.33
Rajasthan Royals VS Delhi Capitals,Rovman Powell ,c Hetmyer b R Ashwin,2,2,6,0,0,100.00
Rajasthan Royals VS Delhi Capitals,Abishek Porel †,c Hetmyer b Chahal,7,9,18,1,0,77.77
Rajasthan Royals VS Delhi Capitals,Kuldeep Yadav ,not out ,3,7,9,0,0,42.85
Rajasthan Royals VS Delhi Capitals,Anrich Nortje , b Sandeep Sharma,0,1,3,0,0,0.00
Sunrisers Hyderabad VS Lucknow Super Giants,Anmolpreet Singh †,lbw b Pandya,31,26,38,3,1,119.23
Sunrisers Hyderabad VS Lucknow Super Giants,Mayank Agarwal ,c Stoinis b Pandya,8,7,14,1,0,114.28
Sunrisers Hyderabad VS Lucknow Super Giants,Rahul Tripathi ,c Mishra b Yash Thakur,34,41,65,4,0,82.92
Sunrisers Hyderabad VS Lucknow Super Giants,Aiden Markram (c), b Pandya,0,1,2,0,0,0.00
Sunrisers Hyderabad VS Lucknow Super Giants,Harry Brook ,st †Pooran b Ravi Bishnoi,3,4,5,0,0,75.00
Sunrisers Hyderabad VS Lucknow Super Giants,Washington Sundar ,c Hooda b Mishra,16,28,40,0,0,57.14
Sunrisers Hyderabad VS Lucknow Super Giants,Abdul Samad ,not out ,21,10,11,1,2,210.00
Sunrisers Hyderabad VS Lucknow Super Giants,Adil Rashid ,c Hooda b Mishra,4,3,3,1,0,133.33
Sunrisers Hyderabad VS Lucknow Super Giants,Umran Malik ,run out (Hooda/Unadkat),0,0,1,0,0,-
Sunrisers Hyderabad VS Lucknow Super Giants,Bhuvneshwar Kumar ,not out ,0,0,4,0,0,-
Sunrisers Hyderabad VS Lucknow Super Giants,Kyle Mayers ,c Agarwal b Fazalhaq Farooqi,13,14,22,2,0,92.85
Sunrisers Hyderabad VS Lucknow Super Giants,KL Rahul (c),lbw b Rashid,35,31,74,4,0,112.90
Sunrisers Hyderabad VS Lucknow Super Giants,Deepak Hooda ,c & b Kumar,7,8,10,0,1,87.50
Sunrisers Hyderabad VS Lucknow Super Giants,Krunal Pandya ,c †Anmolpreet Singh b Umran Malik,34,23,33,4,1,147.82
Sunrisers Hyderabad VS Lucknow Super Giants,Marcus Stoinis ,not out ,10,13,22,2,0,76.92
Sunrisers Hyderabad VS Lucknow Super Giants,Romario Shepherd ,lbw b Rashid,0,1,3,0,0,0.00
Sunrisers Hyderabad VS Lucknow Super Giants,Nicholas Pooran †,not out ,11,6,7,1,1,183.33
Kolkata Knight Riders VS Royal Challengers Bangalore,Rahmanullah Gurbaz †,c Akash Deep b Sharma,57,44,58,6,3,129.54
Kolkata Knight Riders VS Royal Challengers Bangalore,Venkatesh Iyer , b Willey,3,7,18,0,0,42.85
Kolkata Knight Riders VS Royal Challengers Bangalore,Mandeep Singh , b Willey,0,1,2,0,0,0.00
Kolkata Knight Riders VS Royal Challengers Bangalore,Nitish Rana (c),c †Karthik b Bracewell,1,5,17,0,0,20.00
Kolkata Knight Riders VS Royal Challengers Bangalore,Rinku Singh ,c †Karthik b Patel,46,33,64,2,3,139.39
Kolkata Knight Riders VS Royal Challengers Bangalore,Andre Russell ,c Kohli b Sharma,0,1,2,0,0,0.00
Kolkata Knight Riders VS Royal Challengers Bangalore,Shardul Thakur ,c Maxwell b Mohammed Siraj,68,29,45,9,3,234.48
Kolkata Knight Riders VS Royal Challengers Bangalore,Sunil Narine ,not out ,0,1,6,0,0,0.00
Kolkata Knight Riders VS Royal Challengers Bangalore,Umesh Yadav ,not out ,6,2,2,1,0,300.00
Kolkata Knight Riders VS Royal Challengers Bangalore,Virat Kohli , b Narine,21,18,20,3,0,116.66
Kolkata Knight Riders VS Royal Challengers Bangalore,Faf du Plessis (c), b Varun,23,12,24,2,2,191.66
Kolkata Knight Riders VS Royal Challengers Bangalore,Michael Bracewell ,c Rana b Thakur,19,18,33,1,1,105.55
Kolkata Knight Riders VS Royal Challengers Bangalore,Glenn Maxwell , b Varun,5,7,9,1,0,71.42
Kolkata Knight Riders VS Royal Challengers Bangalore,Harshal Patel , b Varun,0,2,3,0,0,0.00
Kolkata Knight Riders VS Royal Challengers Bangalore,Shahbaz Ahmed ,c Thakur b Narine,1,5,6,0,0,20.00
Kolkata Knight Riders VS Royal Challengers Bangalore,Dinesh Karthik †,c Varun b Suyash Sharma,9,8,23,1,0,112.50
Kolkata Knight Riders VS Royal Challengers Bangalore,Anuj Rawat ,c Narine b Suyash Sharma,1,5,5,0,0,20.00
Kolkata Knight Riders VS Royal Challengers Bangalore,David Willey ,not out ,20,20,28,2,0,100.00
Kolkata Knight Riders VS Royal Challengers Bangalore,Karn Sharma ,c Rana b Suyash Sharma,1,3,11,0,0,33.33
Kolkata Knight Riders VS Royal Challengers Bangalore,Akash Deep ,c & b Varun,17,8,14,2,1,212.50
Punjab Kings VS Rajasthan Royals,Prabhsimran Singh ,c Buttler b Holder,60,34,49,7,3,176.47
Punjab Kings VS Rajasthan Royals,Shikhar Dhawan (c),not out ,86,56,113,9,3,153.57
Punjab Kings VS Rajasthan Royals,Bhanuka Rajapaksa ,retired hurt ,1,1,3,0,0,100.00
Punjab Kings VS Rajasthan Royals,Jitesh Sharma †,c Parag b Chahal,27,16,31,2,1,168.75
Punjab Kings VS Rajasthan Royals,Sikandar Raza , b Ashwin,1,2,2,0,0,50.00
Punjab Kings VS Rajasthan Royals,M Shahrukh Khan ,c Buttler b Holder,11,10,23,1,0,110.00
Punjab Kings VS Rajasthan Royals,Sam Curran ,not out ,1,2,3,0,0,50.00
Punjab Kings VS Rajasthan Royals,Yashasvi Jaiswal ,c sub (MW Short) b Arshdeep Singh,11,8,12,1,1,137.50
Punjab Kings VS Rajasthan Royals,Ravichandran Ashwin ,c S Dhawan b Arshdeep Singh,0,4,23,0,0,0.00
Punjab Kings VS Rajasthan Royals,Jos Buttler ,c & b Ellis,19,11,24,1,1,172.72
Punjab Kings VS Rajasthan Royals,Sanju Samson (c)†,c sub (MW Short) b Ellis,42,25,39,5,1,168.00
Punjab Kings VS Rajasthan Royals,Devdutt Padikkal , b Ellis,21,26,47,1,0,80.76
Punjab Kings VS Rajasthan Royals,Riyan Parag ,c Shahrukh Khan b Ellis,20,12,16,1,2,166.66
Punjab Kings VS Rajasthan Royals,Shimron Hetmyer ,run out (Shahrukh Khan/Curran),36,18,35,1,3,200.00
Punjab Kings VS Rajasthan Royals,Dhruv Jurel ,not out ,32,15,32,3,2,213.33
Punjab Kings VS Rajasthan Royals,Jason Holder ,not out ,1,1,4,0,0,100.00
Delhi Capitals VS Gujarat Titans,David Warner (c), b Joseph,37,32,48,7,0,115.62
Delhi Capitals VS Gujarat Titans,Prithvi Shaw ,c Joseph b Mohammed Shami,7,5,17,1,0,140.00
Delhi Capitals VS Gujarat Titans,Mitchell Marsh , b Mohammed Shami,4,4,10,1,0,100.00
Delhi Capitals VS Gujarat Titans,Sarfaraz Khan ,c Little b Rashid Khan,30,34,66,2,0,88.23
Delhi Capitals VS Gujarat Titans,Rilee Rossouw ,c Tewatia b Joseph,0,1,4,0,0,0.00
Delhi Capitals VS Gujarat Titans,Abishek Porel †, b Rashid Khan,20,11,25,0,2,181.81
Delhi Capitals VS Gujarat Titans,Axar Patel ,c Miller b Mohammed Shami,36,22,33,2,3,163.63
Delhi Capitals VS Gujarat Titans,Aman Hakim Khan ,c Pandya b Rashid Khan,8,8,10,0,1,100.00
Delhi Capitals VS Gujarat Titans,Kuldeep Yadav ,not out ,1,1,7,0,0,100.00
Delhi Capitals VS Gujarat Titans,Anrich Nortje ,not out ,4,2,1,1,0,200.00
Delhi Capitals VS Gujarat Titans,Wriddhiman Saha †, b Nortje,14,7,9,2,1,200.00
Delhi Capitals VS Gujarat Titans,Shubman Gill , b Nortje,14,13,19,3,0,107.69
Delhi Capitals VS Gujarat Titans,Sai Sudharsan ,not out ,62,48,92,4,2,129.16
Delhi Capitals VS Gujarat Titans,Hardik Pandya (c),c †Abishek Porel b Ahmed,5,4,12,1,0,125.00
Delhi Capitals VS Gujarat Titans,Vijay Shankar ,lbw b Marsh,29,23,40,3,0,126.08
Delhi Capitals VS Gujarat Titans,David Miller ,not out ,31,16,28,2,2,193.75
Chennai Super Kings VS Lucknow Super Giants,Ruturaj Gaikwad ,c Wood b Ravi Bishnoi,57,31,55,3,4,183.87
Chennai Super Kings VS Lucknow Super Giants,Devon Conway ,c Pandya b Wood,47,29,62,5,2,162.06
Chennai Super Kings VS Lucknow Super Giants,Shivam Dube ,c Wood b Ravi Bishnoi,27,16,22,1,3,168.75
Chennai Super Kings VS Lucknow Super Giants,Moeen Ali ,st †Pooran b Ravi Bishnoi,19,13,25,3,0,146.15
Chennai Super Kings VS Lucknow Super Giants,Ben Stokes ,c Yash Thakur b Avesh Khan,8,8,16,1,0,100.00
Chennai Super Kings VS Lucknow Super Giants,Ambati Rayudu ,not out ,27,14,26,2,2,192.85
Chennai Super Kings VS Lucknow Super Giants,Ravindra Jadeja ,c Ravi Bishnoi b Wood,3,6,13,0,0,50.00
Chennai Super Kings VS Lucknow Super Giants,MS Dhoni (c)†,c Ravi Bishnoi b Wood,12,3,6,0,2,400.00
Chennai Super Kings VS Lucknow Super Giants,Mitchell Santner ,not out ,1,1,2,0,0,100.00
Chennai Super Kings VS Lucknow Super Giants,KL Rahul (c),c Gaikwad b Ali,20,18,42,2,0,111.11
Chennai Super Kings VS Lucknow Super Giants,Kyle Mayers ,c Conway b Ali,53,22,35,8,2,240.90
Chennai Super Kings VS Lucknow Super Giants,Deepak Hooda ,c Stokes b Santner,2,6,6,0,0,33.33
Chennai Super Kings VS Lucknow Super Giants,Krunal Pandya ,c Jadeja b Ali,9,9,14,0,1,100.00
Chennai Super Kings VS Lucknow Super Giants,Marcus Stoinis , b Ali,21,18,26,0,1,116.66
Chennai Super Kings VS Lucknow Super Giants,Nicholas Pooran †,c Stokes b Deshpande,32,18,28,2,3,177.77
Chennai Super Kings VS Lucknow Super Giants,Ayush Badoni ,c †Dhoni b Deshpande,23,18,38,0,0,127.77
Chennai Super Kings VS Lucknow Super Giants,Krishnappa Gowtham ,not out ,17,11,26,0,1,154.54
Chennai Super Kings VS Lucknow Super Giants,Mark Wood ,not out ,10,3,2,1,1,333.33
Mumbai Indians VS Royal Challengers Bangalore,Rohit Sharma (c),c †Karthik b Akash Deep,1,10,30,0,0,10.00
Mumbai Indians VS Royal Challengers Bangalore,Ishan Kishan †,c Patel b Mohammed Siraj,10,13,13,2,0,76.92
Mumbai Indians VS Royal Challengers Bangalore,Cameron Green , b Topley,5,4,6,1,0,125.00
Mumbai Indians VS Royal Challengers Bangalore,Suryakumar Yadav ,c Shahbaz Ahmed b Bracewell,15,16,35,1,0,93.75
Mumbai Indians VS Royal Challengers Bangalore,Tilak Varma ,not out ,84,46,85,9,4,182.60
Mumbai Indians VS Royal Challengers Bangalore,Nehal Wadhera ,c Kohli b Sharma,21,13,25,1,2,161.53
Mumbai Indians VS Royal Challengers Bangalore,Tim David , b Sharma,4,7,11,0,0,57.14
Mumbai Indians VS Royal Challengers Bangalore,Hrithik Shokeen ,c du Plessis b Patel,5,3,12,1,0,166.66
Mumbai Indians VS Royal Challengers Bangalore,Arshad Khan ,not out ,15,9,19,0,1,166.66
Mumbai Indians VS Royal Challengers Bangalore,Virat Kohli ,not out ,82,49,75,6,5,167.34
Mumbai Indians VS Royal Challengers Bangalore,Faf du Plessis (c),c David b Arshad Khan,73,43,66,5,6,169.76
Mumbai Indians VS Royal Challengers Bangalore,Dinesh Karthik †,c Tilak Varma b Green,0,3,6,0,0,0.00
Mumbai Indians VS Royal Challengers Bangalore,Glenn Maxwell ,not out ,12,3,5,0,2,400.00
Rajasthan Royals VS Sunrisers Hyderabad,Yashasvi Jaiswal ,c Agarwal b Fazalhaq Farooqi,54,37,63,9,0,145.94
Rajasthan Royals VS Sunrisers Hyderabad,Jos Buttler , b Fazalhaq Farooqi,54,22,32,7,3,245.45
Rajasthan Royals VS Sunrisers Hyderabad,Sanju Samson (c)†,c Abhishek Sharma b Natarajan,55,32,66,3,4,171.87
Rajasthan Royals VS Sunrisers Hyderabad,Devdutt Padikkal , b Umran Malik,2,5,10,0,0,40.00
Rajasthan Royals VS Sunrisers Hyderabad,Riyan Parag ,c Fazalhaq Farooqi b Natarajan,7,6,12,1,0,116.66
Rajasthan Royals VS Sunrisers Hyderabad,Shimron Hetmyer ,not out ,22,16,21,1,1,137.50
Rajasthan Royals VS Sunrisers Hyderabad,Ravichandran Ashwin ,not out ,1,2,9,0,0,50.00
Rajasthan Royals VS Sunrisers Hyderabad,Abhishek Sharma , b Boult,0,3,3,0,0,0.00
Rajasthan Royals VS Sunrisers Hyderabad,Mayank Agarwal ,c Buttler b Chahal,27,23,56,3,0,117.39
Rajasthan Royals VS Sunrisers Hyderabad,Rahul Tripathi ,c Holder b Boult,0,2,6,0,0,0.00
Rajasthan Royals VS Sunrisers Hyderabad,Harry Brook , b Chahal,13,21,28,1,0,61.90
Rajasthan Royals VS Sunrisers Hyderabad,Washington Sundar ,c Hetmyer b Holder,1,5,10,0,0,20.00
Rajasthan Royals VS Sunrisers Hyderabad,Glenn Phillips †,c Asif b Ashwin,8,6,6,0,1,133.33
Rajasthan Royals VS Sunrisers Hyderabad,Abdul Samad ,not out ,32,32,51,2,1,100.00
Rajasthan Royals VS Sunrisers Hyderabad,Adil Rashid ,st †Samson b Chahal,18,13,17,1,1,138.46
Rajasthan Royals VS Sunrisers Hyderabad,Bhuvneshwar Kumar (c), b Chahal,6,10,20,0,0,60.00
Rajasthan Royals VS Sunrisers Hyderabad,Umran Malik ,not out ,19,8,12,1,2,237.50
Lucknow Super Giants VS Delhi Capitals,KL Rahul (c),c Patel b Sakariya,8,12,21,0,1,66.66
Lucknow Super Giants VS Delhi Capitals,Kyle Mayers , b Patel,73,38,53,2,7,192.10
Lucknow Super Giants VS Delhi Capitals,Deepak Hooda ,c Warner b Kuldeep Yadav,17,18,31,0,0,94.44
